,2015***,2016***,2017***,2018***
count,91.0,91.0,91.0,91.0
mean,7833.43956043956,7119.258503401365,6814.2152847152865,6883.771728271726
std,6238.66937951211,5720.327922734867,5624.996088695039,5586.253886902545
min,1071.0,1096.2380952380952,564.4545454545455,979.7272727272727
25%,3912.5,3569.4523809523807,3500.681818181818,3500.363636363636
50%,6145.0,5341.476190476191,5331.500000000001,5302.772727272728
75%,9223.0,8453.785714285714,8333.204545454544,8062.977272727273
max,31186.0,29160.380952380954,29469.31818181818,28315.454545454544
